job,method,seed,nodes,partition,scenario,topology,period,epochs,dataset,use_cycle,event_threshold,hidden,stride,protocol_id,split,policy,accuracy,precision,recall,f1,average_precision,roc_auc,fpr,bytes_total,training_wall_s,modeled_parallel_s
FD001_centralized_s55_n10_1a027f83654d,centralized,55,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_all,val_f1,0.9877649909145972,0.8811881188118812,0.8042168674698795,0.8409448818897638,0.9226679516277617,0.9954543657401284,0.004543733434305188,0,197.19123528600358,197.0244692100041
FD001_centralized_s55_n10_1a027f83654d,centralized,55,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_all,val_fpr02,0.9850999394306481,0.8138138138138138,0.8162650602409639,0.8150375939849624,0.9226679516277617,0.9954543657401284,0.00782531869241449,0,197.19123528600358,197.0244692100041
FD001_centralized_s55_n10_1a027f83654d,centralized,55,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_terminal,fixed,0.967741935483871,0.9583333333333334,0.92,0.9387755102040817,0.9868055555555557,0.9941176470588236,0.014705882352941176,0,197.19123528600358,197.0244692100041
FD001_centralized_s55_n10_1a027f83654d,centralized,55,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_terminal,val_f1,0.967741935483871,0.9583333333333334,0.92,0.9387755102040817,0.9868055555555557,0.9941176470588236,0.014705882352941176,0,197.19123528600358,197.0244692100041
FD001_centralized_s55_n10_1a027f83654d,centralized,55,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_terminal,val_fpr02,0.967741935483871,0.9583333333333334,0.92,0.9387755102040817,0.9868055555555557,0.9941176470588236,0.014705882352941176,0,197.19123528600358,197.0244692100041
FD001_event_gossip_s11_n10_89440d1b1384,event_gossip,11,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_all,fixed,0.9875227135069655,0.8459214501510574,0.8433734939759037,0.8446455505279035,0.9412676054006517,0.9966724147631799,0.006436955698599016,322620000,184.21706269000038,48.01089006299959
FD001_event_gossip_s11_n10_89440d1b1384,event_gossip,11,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_all,val_f1,0.9893397940642035,0.9388489208633094,0.786144578313253,0.8557377049180328,0.9412676054006517,0.9966724147631799,0.002145651899533005,322620000,184.21706269000038,48.01089006299959
FD001_event_gossip_s11_n10_89440d1b1384,event_gossip,11,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_all,val_fpr02,0.9887341005451241,0.9050847457627119,0.8042168674698795,0.8516746411483254,0.9412676054006517,0.9966724147631799,0.003534014893348479,322620000,184.21706269000038,48.01089006299959
FD001_event_gossip_s11_n10_89440d1b1384,event_gossip,11,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_terminal,fixed,0.9354838709677419,0.88,0.88,0.88,0.9770871193388357,0.991764705882353,0.04411764705882353,322620000,184.21706269000038,48.01089006299959
FD001_event_gossip_s11_n10_89440d1b1384,event_gossip,11,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_terminal,val_f1,0.956989247311828,0.9565217391304348,0.88,0.9166666666666666,0.9770871193388357,0.991764705882353,0.014705882352941176,322620000,184.21706269000038,48.01089006299959
