dataset,nodes,partition,scenario,topology,period,epochs,use_cycle,event_threshold,hidden,stride,protocol_id,split,policy,method,runs,accuracy_mean,accuracy_sd,accuracy_ci_low,accuracy_ci_high,precision_mean,precision_sd,precision_ci_low,precision_ci_high,recall_mean,recall_sd,recall_ci_low,recall_ci_high,f1_mean,f1_sd,f1_ci_low,f1_ci_high,average_precision_mean,average_precision_sd,average_precision_ci_low,average_precision_ci_high,bytes_total_mean,bytes_total_sd,bytes_total_ci_low,bytes_total_ci_high,training_wall_s_mean,training_wall_s_sd,training_wall_s_ci_low,training_wall_s_ci_high,modeled_parallel_s_mean,modeled_parallel_s_sd,modeled_parallel_s_ci_low,modeled_parallel_s_ci_high
FD001,10,iid,none,ring,1,50,True,0.02,"[100, 50]",1,22b20344bb16,test_all,val_fpr02,event_gossip_weighted,5,0.98328285887341,0.003298667184540325,0.9791870225883101,0.98737869515851,0.8326166520991378,0.07091949417663955,0.744558469409183,0.9206748347890926,0.7397590361445783,0.058738801232348835,0.6668251813567239,0.8126928909324327,0.780728855737412,0.03971192169128935,0.7314199922738509,0.8300377192009731,0.8958863487232144,0.02779289274463733,0.8613769143962596,0.9303957830501691,322232875.2,577091.5790506738,321516321.3626262,322949429.0373738,193.87922135379898,4.6903891359017305,188.05533402618374,199.70310868141422,51.00650452940151,3.325613598246027,46.87720985252254,55.13579920628048
FD001,10,iid,none,ring,1,50,True,0.02,"[100, 50]",1,22b20344bb16,test_all,val_fpr02,fedavg,5,0.9849788007268321,0.0008693337428471999,0.983899380315915,0.9860582211377492,0.8402785682796751,0.027000266161518748,0.8067533098449979,0.8738038267143522,0.7765060240963856,0.05676732043079397,0.7060200860429717,0.8469919621497994,0.8053674665547176,0.020547448221469925,0.7798544398431624,0.8308804932662728,0.9086932111033521,0.01246953025107799,0.8932102443160759,0.9241761778906283,322604000.0,0.0,322604000.0,322604000.0,190.31005079420038,10.760473817789682,176.94915785103672,203.67094373736404,281.6702135169988,1.8559113776454315,279.3657951755197,283.9746318584779
FD001,10,iid,none,ring,1,50,True,0.02,"[100, 50]",1,22b20344bb16,test_all,val_fpr02,fedavg_weighted,5,0.9847607510599637,0.0020866119755003367,0.9821698800917641,0.9873516220281634,0.8277510972714364,0.03919444331594726,0.7790847680763865,0.8764174264664862,0.7897590361445783,0.0838085833737726,0.6856969354289063,0.8938211368602503,0.8048864949414414,0.03844596505443092,0.7571495242571545,0.8526234656257282,0.9111960536102174,0.01720879758050131,0.8898285092021329,0.9325635980183019,322604000.0,0.0,322604000.0,322604000.0,190.67774564700147,10.631652808178929,177.47680511368375,203.8786861803192,282.10444491599964,1.8402064450795526,279.8195268238818,284.38936300811747
FD001,10,iid,none,ring,1,50,True,0.02,"[100, 50]",1,22b20344bb16,test_all,val_fpr02,gossip,5,0.9849788007268323,0.00253958271268765,0.9818254923020274,0.9881321091516372,0.8511133934478134,0.04754904147221173,0.7920734605026705,0.9101533263929564,0.7614457831325302,0.02646491883914313,0.7285852461945816,0.7943063200704787,0.8033294161731035,0.030483043293140555,0.7654797187603242,0.8411791135858828,0.9059619064549557,0.02064321249536881,0.8803299726921862,0.9315938402177252,322604000.0,0.0,322604000.0,322604000.0,195.13744751859912,6.212142926049512,187.42405329562726,202.85084174157097,49.746662583799306,1.3324796672101176,48.09217055268597,51.40115461491264
FD001,10,iid,none,ring,1,50,True,0.02,"[100, 50]",1,22b20344bb16,test_all,val_fpr02,gossip_weighted,5,0.9834282253179891,0.0034160255325528066,0.9791866693972735,0.9876697812387047,0.8481724319271654,0.08527305125207618,0.742291954170478,0.9540529096838528,0.7301204819277108,0.0893670181219065,0.6191566728989162,0.8410842909565055,0.7786658883177967,0.04766153910822276,0.7194862711081358,0.8378455055274576,0.8940029834806845,0.02851609744343536,0.8585955719159004,0.9294103950454686,322604000.0,0.0,322604000.0,322604000.0,193.07773065080164,3.1982300478112347,189.10660354246093,197.04885775914235,49.542758907000625,1.0365245502344544,48.255743689720155,50.829774124281094
FD001,10,iid,none,ring,1,50,True,0.02,"[100, 50]",1,22b20344bb16,test_all,val_fpr02,local,5,0.9765717746820108,0.005759250450033904,0.9694207207415649,0.9837228286224567,0.7488622277020216,0.10133093575619102,0.6230432528692607,0.8746812025347825,0.6391566265060241,0.05326302855152416,0.5730218415182974,0.7052914114937509,0.6883259496098335,0.06737287212239722,0.6046714798398669,0.7719804193798001,0.7397620521968327,0.12708981833963937,0.581959200226246,0.8975649041674193,0.0,0.0,0.0,0.0,190.1704720210011,12.989284410427691,174.04214520614363,206.29879883585858,22.983484388000697,2.1982252907779323,20.25402718450074,25.712941591500655
FD001,10,iid,none,ring,1,50,True,0.02,"[100, 50]",1,22b20344bb16,test_terminal,fixed,centralized,5,0.9655913978494624,0.011778979731293883,0.9509658627815429,0.9802169329173818,0.9522564102564102,0.04179886326701005,0.900356266571922,1.0041565539408983,0.9199999999999999,0.028284271247461888,0.8848804386765966,0.9551195613234033,0.9351364034975692,0.02089482648954807,0.909192049696783,0.9610807572983554,0.9943947944647945,0.005394554780018922,0.987696570008107,1.001093018921482,0.0,0.0,0.0,0.0,190.98308336240038,10.438380350338962,178.0221222818269,203.94404444297385,190.8052282778003,10.424362891287332,177.86167217147752,203.74878438412307
FD001,10,iid,none,ring,1,50,True,0.02,"[100, 50]",1,22b20344bb16,test_terminal,fixed,event_gossip,5,0.9440860215053763,0.0048087483387092705,0.9381151718167788,0.9500568711939739,0.9411515151515151,0.045169002104848886,0.8850667914031342,0.997236238899896,0.8480000000000001,0.03346640106136301,0.8064459746526574,0.8895540253473427,0.8908164230231099,0.006845000469624316,0.8823172323722895,0.8993156136739303,0.9778638556302484,0.0036591844709707717,0.9733203780098577,0.982407333250639,321974792.0,912461.9041516199,320841820.9038825,323107763.0961175,188.9519182241999,3.982583722553126,184.00688739607335,193.89694905232642,49.02930484420218,0.9959244866858833,47.79270126415476,50.2659084242496
FD001,10,iid,none,ring,1,50,True,0.02,"[100, 50]",1,22b20344bb16,test_terminal,fixed,event_gossip_weighted,5,0.9526881720430108,0.01225995080751764,0.937465432505567,0.9679109115804546,0.9061032011466794,0.01636760369337433,0.8857801369037496,0.9264262653896093,0.9199999999999999,0.05656854249492382,0.8497608773531933,0.9902391226468066,0.9120714021457641,0.025413989225283536,0.8805157666739911,0.9436270376175371,0.9752196946308794,0.012878052950337771,0.9592294799154832,0.9912099093462756,322232875.2,577091.5790506738,321516321.3626262,322949429.0373738,193.87922135379898,4.6903891359017305,188.05533402618374,199.70310868141422,51.00650452940151,3.325613598246027,46.87720985252254,55.13579920628048
FD001,10,iid,none,ring,1,50,True,0.02,"[100, 50]",1,22b20344bb16,test_terminal,fixed,fedavg,5,0.9483870967741936,0.004808748338709221,0.9424162470855962,0.954357946462791,0.9488801054018445,0.03456568255140341,0.9059611418044269,0.9917990689992622,0.8560000000000001,0.035777087639996624,0.8115768783168354,0.9004231216831647,0.899018188835818,0.010553282451817681,0.8859145579525204,0.9121218197191155,0.9851786657003452,0.007147829630776296,0.9763034629825161,0.9940538684181742,322604000.0,0.0,322604000.0,322604000.0,190.31005079420038,10.760473817789682,176.94915785103672,203.67094373736404,281.6702135169988,1.8559113776454315,279.3657951755197,283.9746318584779
FD001,10,iid,none,ring,1,50,True,0.02,"[100, 50]",1,22b20344bb16,test_terminal,fixed,fedavg_weighted,5,0.9720430107526882,0.00961749667741844,0.9601013113754934,0.983984710129883,0.9247635327635327,0.025170149306281815,0.8935106645405092,0.9560164009865563,0.976,0.021908902300206666,0.9487965047736697,1.0032034952263302,0.9494660633484162,0.017084740924987584,0.9282525556232206,0.9706795710736118,0.9908179053796446,0.0039519307504549215,0.9859109352434103,0.995724875515879,322604000.0,0.0,322604000.0,322604000.0,190.67774564700147,10.631652808178929,177.47680511368375,203.8786861803192,282.10444491599964,1.8402064450795526,279.8195268238818,284.38936300811747
FD001,10,iid,none,ring,1,50,True,0.02,"[100, 50]",1,22b20344bb16,test_terminal,fixed,gossip,5,0.946236559139785,0.007603298722436027,0.9367958168485475,0.9556773014310225,0.9324558629776021,0.033749010308240096,0.8905509319028526,0.9743607940523515,0.8640000000000001,0.021908902300206663,0.8367965047736698,0.8912034952263304,0.8963719785786657,0.01320619974344402,0.8799743158041434,0.9127696413531879,0.9769721569064105,0.0010021633607525185,0.9757278067410452,0.9782165070717758,322604000.0,0.0,322604000.0,322604000.0,195.13744751859912,6.212142926049512,187.42405329562726,202.85084174157097,49.746662583799306,1.3324796672101176,48.09217055268597,51.40115461491264
FD001,10,iid,none,ring,1,50,True,0.02,"[100, 50]",1,22b20344bb16,test_terminal,fixed,gossip_weighted,5,0.956989247311828,0.01316929969238271,0.9406374020022404,0.9733410926214155,0.907573286616765,0.01573515611003253,0.8880355097688216,0.9271110634647083,0.9359999999999999,0.06066300355241241,0.8606769324660624,1.0113230675339375,0.9205299240160505,0.027517674662606028,0.8863622180732087,0.9546976299588923,0.9751997157691614,0.013348008291063198,0.9586259744264229,0.9917734571118999,322604000.0,0.0,322604000.0,322604000.0,193.07773065080164,3.1982300478112347,189.10660354246093,197.04885775914235,49.542758907000625,1.0365245502344544,48.255743689720155,50.829774124281094
FD001,10,iid,none,ring,1,50,True,0.02,"[100, 50]",1,22b20344bb16,test_terminal,fixed,local,5,0.9182795698924732,0.029052163626035046,0.8822065442481005,0.9543525955368458,0.8917727009832273,0.04074765210502708,0.8411778083530833,0.9423675936133712,0.792,0.10353743284435828,0.6634412971707204,0.9205587028292797,0.8364057085284706,0.06678984683811016,0.7534751602640457,0.9193362567928955,0.9125036213125071,0.05556876245985063,0.8435058895413737,0.9815013530836404,0.0,0.0,0.0,0.0,190.1704720210011,12.989284410427691,174.04214520614363,206.29879883585858,22.983484388000697,2.1982252907779323,20.25402718450074,25.712941591500655
FD001,10,iid,none,ring,1,50,True,0.02,"[100, 50]",1,22b20344bb16,test_terminal,val_f1,centralized,5,0.9763440860215054,0.008996344371334139,0.9651736491001767,0.987514522942834,0.9836666666666666,0.022373098926066447,0.9558867952019185,1.0114465381314146,0.9279999999999999,0.033466401061363,0.8864459746526573,0.9695540253473426,0.9545741786076134,0.017732441189970482,0.9325564447817616,0.9765919124334652,0.9943947944647945,0.005394554780018922,0.987696570008107,1.001093018921482,0.0,0.0,0.0,0.0,190.98308336240038,10.438380350338962,178.0221222818269,203.94404444297385,190.8052282778003,10.424362891287332,177.86167217147752,203.74878438412307
FD001,10,iid,none,ring,1,50,True,0.02,"[100, 50]",1,22b20344bb16,test_terminal,val_f1,event_gossip,5,0.9505376344086022,0.009617496677418486,0.9385959350314074,0.962479333785797,0.9575177865612648,0.02838636004180533,0.9222714652573053,0.9927641078652244,0.8560000000000001,0.06066300355241241,0.7806769324660625,0.9313230675339377,0.9021173436492586,0.023959321264804673,0.8723679170133527,0.9318667702851644,0.9778638556302484,0.0036591844709707717,0.9733203780098577,0.982407333250639,321974792.0,912461.9041516199,320841820.9038825,323107763.0961175,188.9519182241999,3.982583722553126,184.00688739607335,193.89694905232642,49.02930484420218,0.9959244866858833,47.79270126415476,50.2659084242496
FD001,10,iid,none,ring,1,50,True,0.02,"[100, 50]",1,22b20344bb16,test_terminal,val_f1,event_gossip_weighted,5,0.9483870967741936,0.008996344371334177,0.937216659852865,0.9595575336955223,0.9470355731225297,0.019027833837013335,0.9234093968833069,0.9706617493617525,0.8560000000000001,0.021908902300206663,0.8287965047736698,0.8832034952263303,0.899113475177305,0.017734928524074635,0.8770926529182445,0.9211342974363655,0.9752196946308794,0.012878052950337771,0.9592294799154832,0.9912099093462756,322232875.2,577091.5790506738,321516321.3626262,322949429.0373738,193.87922135379898,4.6903891359017305,188.05533402618374,199.70310868141422,51.00650452940151,3.325613598246027,46.87720985252254,55.13579920628048
FD001,10,iid,none,ring,1,50,True,0.02,"[100, 50]",1,22b20344bb16,test_terminal,val_f1,fedavg,5,0.956989247311828,0.007603298722435988,0.9475485050205905,0.9664299896030655,0.9578801054018445,0.028382029424592694,0.9226391612693678,0.9931210495343212,0.8800000000000001,0.040000000000000036,0.8303334400718495,0.9296665599281507,0.9164205352816428,0.01615567096418052,0.896360620278594,0.9364804502846916,0.9851786657003452,0.007147829630776296,0.9763034629825161,0.9940538684181742,322604000.0,0.0,322604000.0,322604000.0,190.31005079420038,10.760473817789682,176.94915785103672,203.67094373736404,281.6702135169988,1.8559113776454315,279.3657951755197,283.9746318584779
